Class,Method,Commit,Smell,Tecnicas,Refactoring,Full Message
com.zegoggles.smssync.service.BackupTask,backup,6453f6cd12659e70d9daa5d6c93a1c6d94203689,Alto Acoplamento Efferent,[R],EXTRACT_OPERATION,null
com.zegoggles.smssync.service.BackupTask,backup,59b8884ce7737549a2975c7e29b64e43fcf78d58,Alto Acoplamento Efferent,[R],EXTRACT_AND_MOVE_OPERATION,null
com.zegoggles.smssync.service.BackupTask,backup,3b0fbb47593619175fa6e6586d462caca005ba46,Alto Acoplamento Efferent,[R],EXTRACT_AND_MOVE_OPERATION,null
com.zegoggles.smssync.service.RestoreTask,doInBackground,8e14ad79888c53f0cd2b946c81888cf0badebf17,Alto Acoplamento Efferent,"[A, R, X]",EXTRACT_OPERATION,null
com.zegoggles.smssync.service.RestoreTask,doInBackground,f81a126da93b1bc9de605bc8beb5ada5fb8c4d10,Alto Acoplamento Efferent,"[A, R, X]",EXTRACT_OPERATION,null
com.zegoggles.smssync.mail.BackupImapStore,getFolder,8e14ad79888c53f0cd2b946c81888cf0badebf17,Alto Acoplamento Efferent,[D],EXTRACT_OPERATION,null
com.zegoggles.smssync.mail.MessageConverter,cursorToMessages,0ad7c0668a3da32d02c61e98715479b315a18a6e,Metodo Longo,"[R, D]",RENAME_METHOD,null
com.zegoggles.smssync.service.BackupTask,doInBackground,8e14ad79888c53f0cd2b946c81888cf0badebf17,Alto Acoplamento Efferent,"[A, R, D, X]",EXTRACT_OPERATION,null
com.zegoggles.smssync.service.BackupTask,doInBackground,0355091497614e63a0251d2418b46ff30e9fb66e,Alto Acoplamento Efferent,"[A, R, D, X]",EXTRACT_OPERATION,null
com.zegoggles.smssync.service.BackupTask,doInBackground,79f7a970e514aa86bd801a6733eab5f06a538f21,Alto Acoplamento Efferent,"[A, R, D, X]",EXTRACT_OPERATION,null
com.zegoggles.smssync.service.RestoreTask,doInBackground,8e14ad79888c53f0cd2b946c81888cf0badebf17,Muitos Desvios,"[A, R, D, X]",EXTRACT_OPERATION,null
com.zegoggles.smssync.service.RestoreTask,doInBackground,f81a126da93b1bc9de605bc8beb5ada5fb8c4d10,Muitos Desvios,"[A, R, D, X]",EXTRACT_OPERATION,null
com.zegoggles.smssync.activity.auth.AccountManagerAuthActivity,refreshOAuth2Token,f81a126da93b1bc9de605bc8beb5ada5fb8c4d10,Metodo Longo,[R],MOVE_OPERATION,null
